Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud,Wind Speed
KZ,1554319800,Astana,51.13,71.43,46.4,87,75,4.47
US,1554322843,Half Moon Bay,37.46,-122.43,64.0,87,75,8.05
NA,1554321730,Walvis Bay,-22.95,14.51,64.4,68,0,3.36
MZ,1554321600,Maputo,-25.97,32.57,73.4,88,75,2.24
US,1554323002,Morro Bay,35.37,-120.85,64.99,67,90,4.94
MZ,1554323089,Cuamba,-14.8,36.54,66.69,89,0,6.62
RU,1554323090,Nevel,56.02,29.92,31.23,81,0,6.85
AU,1554322545,Batemans Bay,-35.71,150.18,64.0,80,88,1.01
GB,1554323070,Ballymena,54.87,-6.28,44.6,93,75,8.05
PG,1554323002,Samarai,-10.62,150.67,77.94,100,80,6.73
GE,1554319800,Khani,41.96,42.96,41.0,93,0,2.24
BR,1554321600,Alta Floresta,-9.87,-56.08,77.0,100,75,3.36
CA,1554322578,Whitehorse,60.72,-135.06,26.01,92,90,11.41
RU,1554322870,Tilichiki,60.47,166.1,33.57,87,92,13.89
RU,1554322927,Vostok,46.45,135.83,20.88,70,44,2.37
PT,1554323063,Ponta Delgada,37.73,-25.67,57.2,71,20,10.29
BR,1554322897,Sao Miguel do Araguaia,-13.28,-50.16,84.24,82,0,2.93
TH,1554323093,Amnat Charoen,15.86,104.63,72.09,95,24,4.05
CG,1554323093,Ouesso,1.61,16.05,77.85,91,32,1.36
NA,1554323093,Ongandjera,-17.88,15.07,77.31,36,0,8.63
PG,1554323094,Aitape,-3.15,142.36,80.01,99,80,6.17
AR,1554322690,Necochea,-38.55,-58.74,77.0,15,0,4.0
NG,1554323094,Wala,11.17,13.76,77.85,35,0,5.06
PK,1554323095,Khuzdar,27.8,66.62,56.52,64,0,2.26
CA,1554323095,Haines Junction,60.75,-137.51,27.45,72,88,3.15
BR,1554322827,Natal,-5.81,-35.21,83.52,74,68,8.41
IE,1554322691,Westport,53.8,-9.52,44.01,82,92,7.0
PG,1554323096,Kieta,-6.22,155.63,75.6,100,76,3.04
SV,1554321000,Puerto El Triunfo,13.27,-88.55,89.6,66,20,11.41
CO,1554323096,Mutis,6.23,-77.4,76.95,97,76,5.28
NP,1554323097,Pokhara,28.21,83.99,51.66,64,76,3.04
BR,1554323097,Moreira Sales,-24.05,-53.01,75.42,80,80,5.17
KZ,1554323097,Mamlyutka,54.94,68.54,32.94,96,92,18.03
ES,1554323094,Muros,42.77,-9.06,51.01,93,40,2.24
AO,1554323098,Caala,-12.85,15.56,64.98,62,44,2.71
EG,1554318000,Aswan,24.09,32.9,78.8,29,0,11.41
GL,1554322872,Nanortalik,60.14,-45.24,31.5,100,68,30.78
BR,1554320953,Guarapari,-20.67,-40.5,80.6,74,90,4.7
RU,1554319800,Iskitim,54.64,83.3,35.6,47,0,8.95
AT,1554322840,Schladming,47.39,13.69,55.4,82,0,10.29
CA,1554322860,Port Hawkesbury,45.62,-61.36,41.0,100,90,31.09
CL,1554321600,Coquimbo,-29.95,-71.34,69.8,56,0,12.75
BR,1554318000,Barbosa Ferraz,-24.03,-52.01,78.8,74,20,5.82
IN,1554323101,Warangal,17.99,79.6,78.12,57,12,10.31
PF,1554323101,Tevaitoa,-16.78,-151.5,84.69,98,20,9.64
AU,1554322698,Cairns,-16.92,145.77,75.2,94,75,11.41
RU,1554323101,Leshukonskoye,64.9,45.76,28.35,83,0,5.73
CM,1554321600,Yatou,3.63,9.81,84.2,89,20,2.24
CA,1554323100,Steinbach,49.53,-96.69,34.0,50,40,13.87
GL,1554323103,Kangaatsiaq,68.31,-53.46,16.11,100,68,27.98
MX,1554320520,Laguna,27.52,-110.01,84.2,39,40,9.17
RU,1554323104,Ust-Shonosha,61.15,41.34,18.0,66,0,5.95
SE,1554322721,Harnosand,62.63,17.94,33.8,100,0,3.36
RU,1554323104,Volchikha,52.02,80.36,41.85,70,92,7.74
RU,1554322986,Dudinka,69.41,86.18,18.72,92,68,8.19
RS,1554321600,Mana,43.52,20.24,55.4,54,40,6.93
RU,1554323105,Aksarka,66.56,67.8,11.88,62,44,2.82
FR,1554322806,Compiegne,49.42,2.83,43.0,91,40,2.24
CF,1554323106,Birao,10.3,22.78,77.31,21,0,9.64
US,1554322945,Glenwood Springs,39.55,-107.33,55.4,79,75,6.93
KY,1554321605,Bodden Town,19.28,-81.25,86.0,79,40,16.11
SO,1554323107,Bandarbeyla,9.49,50.81,79.74,100,92,2.37
NO,1554323084,Gravdal,59.79,5.78,46.4,65,0,2.24
PE,1554321600,Talara,-4.58,-81.27,62.6,290,0,10.42
AU,1554318000,Mount Gambier,-37.83,140.78,53.6,81,40,10.29
TR,1554323108,Ayan,40.67,33.6,37.44,79,88,2.04
BO,1554323108,Colquechaca,-18.7,-66.0,47.34,98,92,2.26
US,1554322812,Saint Anthony,43.97,-111.68,46.99,75,90,8.05
PE,1554321600,Morrope,-6.54,-80.02,80.6,65,75,16.11
MG,1554321600,Toamasina,-18.17,49.38,75.2,94,40,2.04
CA,1554318000,Meadow Lake,54.13,-108.44,30.2,46,75,18.34
IT,1554323097,Santa Marinella,42.04,11.87,57.0,87,40,16.11
BR,1554322948,Alto Araguaia,-17.32,-53.22,74.97,85,48,9.31
MY,1554321600,Tambun,4.62,101.14,78.8,94,75,2.24
TR,1554323111,Suhut,38.53,30.55,37.98,81,44,2.48
GN,1554323085,Conakry,9.52,-13.7,79.02,100,56,10.42
PK,1554323111,Pasni,25.26,63.48,78.93,80,20,11.1
US,1554323010,Pittsburg,38.02,-121.89,62.6,63,90,5.82
RU,1554322895,Severo-Yeniseyskiy,60.37,93.04,24.84,69,68,6.17
RU,1554323112,Tommot,58.97,126.27,15.75,78,56,2.26
BR,1554321600,Rodrigues Alves,-7.74,-72.65,80.6,94,75,1.59
RU,1554323113,Krasnokamensk,50.1,118.04,26.82,62,0,14.34
US,1554323112,Napa,38.3,-122.29,62.01,77,90,8.05
US,1554322917,Wasilla,61.58,-149.44,46.99,39,1,11.41
AU,1554323055,Margate,-43.03,147.26,42.01,80,40,10.29
BR,1554321600,Vilhena,-12.74,-60.15,84.2,66,40,3.36
PT,1554323099,Colares,38.8,-9.45,54.0,66,40,17.22
US,1554323106,Merrill,42.03,-121.6,55.0,57,90,6.93
BR,1554323115,Cururupu,-1.82,-44.87,74.97,98,100,5.5
US,1554322954,Makakilo City,21.35,-158.09,80.6,54,1,5.82
AU,1554323001,Grafton,-29.69,152.93,60.8,100,0,4.7
ET,1554323116,Jijiga,9.35,42.8,67.5,62,92,0.69
PE,1554321600,Chilca,-13.22,-72.34,60.8,59,75,5.82
NG,1554323116,Yenagoa,4.92,6.26,79.65,86,0,6.96
CZ,1554323114,Horka nad Moravou,49.64,17.21,57.2,47,0,6.93
RU,1554321600,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,55,92,11.18
US,1554323103,Havelock,34.88,-76.9,68.0,39,1,8.05
LY,1554323117,Nalut,31.86,10.98,62.82,59,0,8.3
MX,1554323116,Lazaro Cardenas,28.39,-105.62,84.99,14,75,23.04
SO,1554323118,Eyl,7.98,49.82,77.4,100,8,3.38
IR,1554323118,Sabzevar,36.21,57.68,49.23,48,56,2.37
RU,1554323119,Plast,54.37,60.81,32.85,94,92,17.47
NP,1554321000,Kathmandu,27.71,85.32,62.6,82,75,2.04
RU,1554323119,Novopokrovka,45.85,134.51,31.23,81,56,4.05
SL,1554323120,Daru,7.99,-10.85,75.69,92,80,3.83
KZ,1554323120,Shieli,44.18,66.74,50.04,84,0,7.4
AR,1554323104,San Miguel,-34.54,-58.72,75.0,68,0,9.17
AU,1554322698,Mareeba,-16.99,145.42,75.2,94,75,11.41
AU,1554323044,Devonport,-41.18,146.36,51.01,63,0,8.01
